Open,Close,High,Low,Date
83.25,82.16,83.44,82.11,04/13/23
81.47,83.26,83.53,81.28,4/12/2023
79.88,81.53,81.59,79.38,4/11/2023
80.51,79.74,81.21,79.59,4/10/2023
0,80.7,0,0,4/7/2023
80.35,80.7,80.96,79.65,4/6/2023
81,80.61,81.23,79.73,4/5/2023
80.63,80.71,81.8,79.62,4/4/2023
79.14,80.42,81.79,79,4/3/2023
74.37,75.67,75.8,73.76,03/31/23
72.88,74.37,74.62,72.6,03/30/23
73.58,72.97,74.37,72.77,03/29/23
72.87,73.2,73.93,72.2,03/28/23
69.4,72.81,73.09,69.11,03/27/23
69.5,69.26,70.38,66.82,03/24/23
69.92,69.96,71.67,69.14,03/23/23
69.51,70.9,71.3,68.9,03/22/23
0,69.67,69.76,66.88,03/21/23
66.66,67.64,67.68,64.09,03/20/23
68.24,66.74,69.64,65.21,03/17/23
68.37,68.35,69.37,65.72,03/16/23
71.52,67.61,72.56,65.65,03/15/23
74.73,71.33,74.77,70.78,03/14/23
76.68,76.46,77.47,76.15,03/13/23
75.67,76.68,77.13,74.76,3/10/2023
76.58,75.72,78.05,75.43,3/9/2023
77.33,76.66,77.73,76.11,3/8/2023
80.48,77.58,80.94,77.06,3/7/2023
79.88,80.46,80.64,78.32,3/6/2023
78.01,79.68,79.91,75.84,3/3/2023
77.76,78.16,78.59,77.23,3/2/2023
76.91,77.69,77.84,76.13,3/1/2023
75.75,77.05,77.83,75.55,02/28/23
76.42,75.68,76.82,74.99,02/27/23
75.63,76.32,76.62,74.1,02/24/23
73.94,75.39,75.99,73.84,02/23/23
76.18,73.95,76.55,73.8,02/22/23
76.56,76.36,77.74,75.91,02/21/23
78.02,76.55,78.27,75.05,02/17/23
78.59,78.49,79.53,77.93,02/16/23
78.85,78.59,79.15,77.26,02/15/23
79.13,79.06,79.61,77.47,02/14/23
79.87,80.14,80.61,78.45,02/13/23
77.66,79.72,80.34,77.47,2/10/2023
78.47,78.06,78.84,76.52,2/9/2023
77.53,78.47,78.58,77.09,2/8/2023
74.5,77.14,77.6,74.34,2/7/2023
73.24,74.11,74.52,72.26,2/6/2023
75.87,73.39,78,73.1,2/3/2023
76.71,75.88,77.24,74.95,2/2/2023
79.04,76.41,79.73,76.05,2/1/2023
77.87,78.87,79.26,76.53,01/31/23
79.74,77.9,80.48,77.66,01/30/23
81.15,79.68,82.48,79.05,01/27/23
80.46,81.01,82.13,79.93,01/26/23
80.26,80.15,81.23,79.45,01/25/23
81.56,80.13,82.23,79.66,01/24/23
81.74,81.62,82.75,81.05,01/23/23
0,81.64,81.9,79.91,01/20/23
78.9,80.33,81.21,78.11,01/19/23
80.86,79.48,82.38,78.89,01/18/23
80.05,80.18,81.22,78.54,01/17/23
78.29,79.86,80.12,77.98,01/13/23
77.65,78.39,79.17,77.1,1/12/2023
74.84,77.41,77.83,74.29,1/11/2023
74.88,75.12,75.94,73.84,1/10/2023
73.59,74.63,76.73,73.51,1/9/2023
73.96,73.77,75.47,73.25,1/6/2023
73.11,73.67,74.93,72.45,1/5/2023
77.12,72.84,77.41,72.74,1/4/2023
80.47,76.93,81.5,76.62,1/3/2023
78.72,80.26,80.71,77.72,12/30/22
78.9,78.4,78.92,76.8,12/29/22
79.88,78.96,79.95,77.3,12/28/22
79.88,79.53,81.18,79.15,12/27/22
78.24,79.56,80.33,77.98,12/23/22
78.43,77.49,79.89,77.03,12/22/22
76.02,78.29,78.63,75.79,12/21/22
0,76.23,76.92,74.46,12/20/22
74.41,75.19,76.44,73.8,12/19/22
76.5,74.29,76.57,73.32,12/16/22
77.35,76.11,77.77,75.34,12/15/22
75.41,77.28,77.74,74.91,12/14/22
73.34,75.39,76.36,73.22,12/13/22
71.75,73.17,73.98,70.25,12/12/2022
71.85,71.02,72.91,70.09,12/9/2022
72.27,71.46,75.43,71.1,12/8/2022
74.34,72.01,75.37,71.76,12/7/2022
77.19,74.25,77.87,73.41,12/6/2022
80.05,76.93,82.72,76.75,12/5/2022
81.23,79.98,82.21,79.64,12/2/2022
80.51,81.22,83.34,79.94,12/1/2022
78.89,80.55,81.38,78.4,11/30/22
76.56,78.2,79.64,76.26,11/29/22
76.31,77.24,77.83,73.58,11/28/22
77.55,76.28,79.9,76.18,11/25/22
81.21,77.94,81.95,76.81,11/23/22
80.3,80.95,82.39,79.85,11/22/22
80.2,80.04,80.49,75.28,11/21/22
82.04,80.11,82.61,77.26,11/18/22
84.65,81.64,85.57,81.4,11/17/22
86.7,85.59,87.51,84.18,11/16/22
85.21,86.92,88.67,84.07,11/15/22
88.96,85.87,89.84,85.16,11/14/22
86.37,88.96,90.1,86.19,11/11/2022
85.74,86.47,87.34,84.69,11/10/2022
88.7,85.83,89.22,85.5,11/9/2022
91.86,88.91,92.17,88.54,11/8/2022
91.61,91.79,93.75,90.42,11/7/2022
88.07,92.61,92.86,87.83,11/4/2022
89.49,88.17,89.67,87.6,11/3/2022
88.62,90,90.35,87.74,11/2/2022
86.45,88.37,89.44,85.91,11/1/2022
88.33,86.53,88.65,85.28,10/31/22
88.61,87.9,88.76,87.09,10/28/22
88.26,89.08,89.8,87.32,10/27/22
84.98,87.91,88.41,84.15,10/26/22
84.84,85.32,86.03,83.07,10/25/22
85.15,84.58,85.94,82.62,10/24/22
85.08,85.05,85.9,83.15,10/21/22
0,84.51,87.14,84.17,10/20/22
83.83,85.55,86.2,82.6,10/19/22
85.69,82.82,86.5,82.08,10/18/22
85.59,85.46,87.12,84.6,10/17/22
89.11,85.61,89.75,85.21,10/14/22
87.09,89.11,89.67,85.56,10/13/22
88.59,87.27,90.07,86.27,10/12/2022
90.96,89.35,91.35,87.91,10/11/2022
93.42,91.13,93.65,90.54,10/10/2022
88.94,92.64,93.33,88,10/7/2022
88.04,88.45,89.19,87.04,10/6/2022
86.34,87.76,88.43,85.39,10/5/2022
83.28,86.52,86.97,83.23,10/4/2022
80.7,83.63,84.57,80.7,10/3/2022
81.88,79.49,82.55,79.15,09/30/22
81.98,81.23,82.95,80.33,09/29/22
78.1,82.15,82.34,76.56,09/28/22
76.47,78.5,79.51,76.44,09/27/22
79.23,76.71,80.31,76.25,09/26/22
83.61,78.74,83.92,78.04,09/23/22
83.13,83.49,85.99,82.4,09/22/22
84.32,82.94,86.68,82.49,09/21/22
0,83.94,86.14,83.01,09/20/22
85.32,85.21,86.42,82.08,09/19/22
85,85.11,86.59,84.27,09/16/22
88.94,85.1,89.15,84.53,09/15/22
87.63,88.48,90.19,86.19,09/14/22
88.1,87.31,89.31,85.05,09/13/22
86.14,87.78,89.09,85.15,9/12/2022
82.73,86.79,87.2,82.68,9/9/2022
81.75,83.54,84.26,81.18,9/8/2022
86.89,81.94,87.76,81.41,9/7/2022
86.99,86.88,90.38,86.18,9/6/2022
86.52,86.87,89.7,86.35,9/2/2022
88.9,86.61,89.64,85.98,9/1/2022
92.36,89.55,92.73,88.27,08/31/22
96.91,91.64,97.66,90.54,08/30/22
93,97.01,97.37,92.29,08/29/22
93.05,93.06,94.02,91.08,08/26/22
95.36,92.52,95.75,92.29,08/25/22
93.83,94.89,95.39,92.8,08/24/22
90.44,93.74,94.22,90.41,08/23/22
89.6,90.36,91.03,86.29,08/22/22
90.4,90.44,92.11,88.32,08/19/22
87.24,90.5,91.46,87.23,08/18/22
87.13,88.11,89.15,85.88,08/17/22
87.8,86.53,90.64,85.74,08/16/22
91.89,89.41,92.12,86.83,08/15/22
93.98,92.09,94.81,91.15,8/12/2022
91.6,94.34,95.06,91.25,8/11/2022
90.5,91.93,92.42,87.65,8/10/2022
90.57,90.5,92.65,89.05,8/9/2022
88.73,90.76,90.9,87.23,8/8/2022
87.94,89.01,90.76,87.02,8/5/2022
91,88.54,91.89,87.56,8/4/2022
93.88,90.66,96.56,90.38,8/3/2022
94,94.42,96.48,92.6,8/2/2022
98.38,93.89,98.68,92.42,8/1/2022
97.03,98.62,101.88,96.4,07/29/22
98.03,96.42,99.83,96.04,07/28/22
95.61,97.26,98.59,94.3,07/27/22
96.21,94.98,99,94.76,07/26/22
95.06,96.7,96.94,93.01,07/25/22
96.55,94.7,97.96,94.24,07/22/22
99.88,96.35,100.02,94.57,07/21/22
0,99.88,100.72,98.16,07/20/22
102.41,104.22,104.3,99.82,07/19/22
97.5,102.6,102.8,95.85,07/18/22
96.17,97.59,99.02,94.58,07/15/22
96.42,95.78,96.99,90.56,07/14/22
95.78,96.3,97.97,93.57,07/13/22
103.61,95.84,103.61,95.33,7/12/2022
104.78,104.09,105.04,100.88,7/11/2022
102.31,104.79,105.26,101.51,7/8/2022
98.21,102.73,104.5,96.58,7/7/2022
100.03,98.53,102.14,95.11,7/6/2022
108.67,99.5,111.44,97.43,7/5/2022
105.94,108.43,109.34,104.54,7/1/2022
109.7,105.76,110.46,105.1,06/30/22
111.81,109.78,114.07,109.2,06/29/22
110,111.76,112.21,109.62,06/28/22
107.05,109.57,110.54,105.6,06/27/22
103.97,107.62,108.57,103.63,06/24/22
104.42,104.27,107.05,102.33,06/23/22
109.68,106.19,109.73,101.54,06/22/22
108.73,109.52,111.16,106.81,06/21/22
117.04,107.99,118.93,108.41,06/17/22
115.85,117.59,118.1,112.33,06/16/22
119,115.31,119.6,114.59,06/15/22
121.04,118.93,123.68,116.65,06/14/22
120.65,120.93,122.23,117.47,06/13/22
121.41,120.67,122.76,118.33,6/10/2022
122.51,121.51,122.72,120.79,6/9/2022
119.74,122.11,123.18,119.28,6/8/2022
119.25,119.41,120.35,117.15,6/7/2022
120.49,118.5,121,117.64,6/6/2022
117.52,118.87,120.49,115.25,6/3/2022
114.51,116.87,117.76,111.21,6/2/2022
115.3,115.26,117.86,114.59,6/1/2022
115.15,114.67,119.98,114.16,05/31/22
114.36,115.07,115.29,112.86,05/27/22
110.65,114.09,114.82,110.27,05/26/22
110.43,110.33,111.68,109.24,05/25/22
110.51,109.77,111.42,108.61,05/24/22
110.45,110.29,111.97,109.13,05/23/22
0,110.28,111.04,0,05/20/22
109.52,112.21,112.41,105.01,05/19/22
113.65,109.59,115.42,108.47,05/18/22
113.9,112.4,115.56,111.75,05/17/22
110.49,114.2,114.89,108.27,05/16/22
106.74,110.49,110.64,106.3,05/13/22
105.59,106.13,107.36,102.67,5/12/2022
99.26,105.71,106.43,98.22,5/11/2022
102.7,99.76,104.15,98.87,5/10/2022
110.55,103.09,110.61,102.13,5/9/2022
108.63,109.77,111.17,107.23,5/6/2022
107.6,108.26,111.36,106.45,5/5/2022
103.55,107.81,108.63,102.94,5/4/2022
105.17,102.41,105.8,102.11,5/3/2022
104.44,105.17,105.92,100.25,5/2/2022
105.14,104.69,107.98,103.78,04/29/22
102.02,105.36,105.68,100.1,04/28/22
101.64,102.02,102.99,99.77,04/27/22
98.68,101.7,102.77,97.07,04/26/22
101.46,98.54,101.65,95.25,04/25/22
103.95,102.07,104.2,101.06,04/22/22
102.66,103.79,105.42,102,04/21/22
0,102.19,103.96,99.88,04/20/22
107.84,102.56,108.87,102.08,04/19/22
106.83,108.21,109.79,106,04/18/22
104.14,106.95,107.64,102.13,04/14/22
100.96,104.25,104.47,99.88,04/13/22
95.21,100.6,101.34,94.85,4/12/2022
98,94.29,98.5,92.93,4/11/2022
97.05,98.26,98.76,95.3,4/8/2022
97.28,96.03,98.82,93.77,4/7/2022
101.38,96.23,104,95.72,4/6/2022
103.6,101.96,105.6,99.87,4/5/2022
99.25,103.28,103.95,98.06,4/4/2022
100.97,99.27,101.81,97.78,4/1/2022
107.74,100.28,107.81,99.64,03/31/22
105.25,107.82,108.76,104.55,03/30/22
103.63,104.24,107.84,98.44,03/29/22
113.35,105.96,113.35,102.82,03/28/22
111.59,113.9,114.1,108.67,03/25/22
114.5,112.34,116.63,110.62,03/24/22
108.84,114.93,115.4,108.38,03/23/22
0,109.27,113.34,107.1,03/22/22
104.66,112.12,112.32,104.32,03/21/22
103.83,104.7,106.28,102.3,03/18/22
95.78,102.98,104.26,94.85,03/17/22
95.18,95.04,99.21,94.07,03/16/22
102.1,96.44,102.58,93.52,03/15/22
109.83,103.01,109.94,99.76,03/14/22
106.09,109.33,110.29,104.46,3/11/2022
109.89,106.02,114.87,105.53,3/10/2022
124.81,108.7,126.84,103.63,3/9/2022
120.28,123.7,129.44,117.08,3/8/2022
117.45,119.4,129.79,115.54,3/7/2022
107.77,115.68,116.1,107.25,3/4/2022
111.09,107.67,116.57,106.43,3/3/2022
106.78,110.6,112.5,105.17,3/2/2022
95.87,103.41,106.8,95.29,3/1/2022
93.04,95.72,99.13,93.04,02/28/22
99.65,99.67,100.53,90.06,02/24/22
91.64,92.1,93.89,90.63,02/23/22
90.99,91.91,94.93,89.06,02/22/22
91.9,90.21,92.61,89.01,02/18/22
90.81,91.76,93.35,90.62,02/17/22
92.07,93.66,95.01,89.98,02/16/22
94.94,92.07,95.17,90.66,02/15/22
93.93,95.46,95.82,92.09,02/14/22
89.98,93.1,94.66,89.19,2/11/2022
90.01,89.88,91.74,89.03,2/10/2022
89.84,89.66,90.58,88.42,2/9/2022
91.68,89.36,91.68,88.5,2/8/2022
91.84,91.32,92.72,90.74,2/7/2022
90.19,92.31,93.17,90.07,2/4/2022
87.92,90.27,90.44,86.76,2/3/2022
88.28,88.26,89.72,87.08,2/2/2022
88.14,88.2,88.87,86.55,2/1/2022
87.41,88.15,88.38,86.34,01/31/22
87.36,86.82,88.84,86.45,01/28/22
87.21,86.61,88.54,86.2,01/27/22
85.28,87.35,87.94,85.02,01/26/22
84.04,85.6,85.71,83,01/25/22
85.14,83.31,86.08,81.9,01/24/22
84.6,85.14,85.55,82.78,01/21/22
0,85.55,87.1,84.21,01/20/22
86.79,86.96,87.87,85.79,01/19/22
84.48,85.43,86.62,83.5,01/18/22
81.76,83.82,84.44,81.5,01/14/22
82.77,82.12,82.93,81.38,01/13/22
81.4,82.64,83.14,81.16,1/12/2022
78.43,81.22,81.58,78.37,1/11/2022
79.09,78.23,79.45,77.85,1/10/2022
79.62,78.9,80.48,78.53,1/7/2022
77.2,79.46,80.25,76.73,1/6/2022
77.18,77.85,78.73,76.51,1/5/2022
76.02,76.99,77.66,75.7,1/4/2022
75.63,76.08,76.46,74.28,1/3/2022
76.68,75.21,77.06,74.95,12/31/21
76.73,76.99,77.44,75.78,12/30/21
76.01,76.56,77.37,75.36,12/29/21
76,75.98,76.91,75.52,12/28/21
73.55,75.57,76.08,72.57,12/27/21
73.31,73.79,73.96,72.28,12/23/21
71.22,72.76,73.15,70.81,12/22/21
0,71.12,71.58,68.55,12/21/21
71.92,70.86,72.25,69.93,12/17/21
71.11,72.38,72.99,71.03,12/16/21
70.38,70.87,71.65,69.38,12/15/21
71.25,70.73,72.02,69.5,12/14/21
72,71.29,73,70.69,12/13/21
70.64,71.67,72.33,70.3,12/10/2021
72.6,70.94,73.34,70.36,12/9/2021
71.83,72.36,73,70.91,12/8/2021
70.03,72.05,73.04,69.5,12/7/2021
66.47,69.49,70.13,66.47,12/6/2021
67.51,66.26,69.2,65.6,12/3/2021
65.7,66.5,67.5,62.42,12/2/2021
67,65.57,69.5,64.85,12/1/2021
70.04,66.18,71.22,64.44,11/30/21
68.76,69.95,72.92,68.76,11/29/21
78.34,68.15,78.65,67.38,11/26/21
78.53,78.39,79.22,77.96,11/24/21
76.45,78.5,78.87,75.3,11/23/21
75.65,76.75,77.15,74.69,11/22/21
0,75.94,0,0,11/19/21
78.32,79.01,79.3,77.07,11/18/21
80.69,78.36,80.69,77.68,11/17/21
80.92,80.76,81.8,80.02,11/16/21
80.64,80.88,81.21,79.3,11/15/21
81.29,80.79,81.61,79.78,11/12/2021
81.3,81.59,82.34,80.2,11/11/2021
84.5,81.34,84.99,80.81,11/10/2021
82.18,84.15,84.66,81.78,11/9/2021
81.02,81.93,82.66,81.02,11/8/2021
79.44,81.27,81.8,78.96,11/5/2021
80.15,78.81,83.4,78.25,11/4/2021
83.02,80.86,83.11,79.7,11/3/2021
83.61,83.91,84.4,82.92,11/2/2021
83.3,84.05,84.87,82.74,11/1/2021
82.95,83.57,83.74,81.42,10/29/21
82.14,82.81,83.21,80.57,10/28/21
84.36,82.66,84.51,82.01,10/27/21
83.73,84.65,84.88,82.98,10/26/21
83.94,83.76,85.41,83.39,10/25/21
82.62,83.76,84.22,81.77,10/22/21
83.52,82.5,83.95,80.79,10/21/21
0,83.42,83.65,80.78,10/20/21
82.34,82.96,83.72,81.84,10/19/21
82.55,82.44,83.87,81.84,10/18/21
81.45,82.28,82.66,81.39,10/15/21
80.67,81.31,81.67,80.38,10/14/21
80.55,80.44,81.04,79.41,10/13/21
80.5,80.64,81.61,79.47,10/12/2021
79.64,80.52,82.17,79.54,10/11/2021
78.78,79.35,80.11,78.63,10/8/2021
76.99,78.3,78.9,74.96,10/7/2021
79.03,77.43,79.8,76.82,10/6/2021
77.6,78.93,79.47,77.46,10/5/2021
75.88,77.62,78.37,75.32,10/4/2021
75,75.88,75.98,74.25,10/1/2021
74.69,75.03,76.07,73.14,09/30/21
74.29,74.83,75.79,73.73,09/29/21
75.4,75.29,76.68,74.25,09/28/21
74.04,75.45,75.75,74.04,09/27/21
73.24,73.98,74.27,72.81,09/24/21
71.98,73.3,73.49,71.62,09/23/21
0,72.23,72.32,0,09/22/21
71.99,70.29,71.99,69.38,09/20/21
72.57,71.97,72.71,71.22,09/17/21
72.63,72.61,72.98,71.55,09/16/21
70.73,72.61,73.14,70.64,09/15/21
70.65,70.46,71.21,69.99,09/14/21
69.66,70.45,70.96,69.52,09/13/21
68,69.72,69.96,67.68,9/10/2021
69.39,68.14,69.88,67.57,9/9/2021
68.35,69.3,69.74,68.29,9/8/2021
69.15,68.35,69.47,67.64,9/7/2021
69.79,69.29,70.52,69.07,9/3/2021
68.15,69.99,70.61,67.86,9/2/2021
68.51,68.59,69.24,67.12,9/1/2021
69.13,68.5,69.34,68.17,08/31/21
69.2,69.21,69.67,67.68,08/30/21
67.79,68.74,69.04,67.52,08/27/21
68,67.42,68.3,67.02,08/26/21
67.65,68.36,68.54,66.92,08/25/21
65.55,67.54,67.8,65.39,08/24/21
62.01,65.64,65.99,61.75,08/23/21
0,62.14,0,61.83,08/20/21
64.59,63.69,64.74,62.65,08/19/21
66.53,65.46,67.48,64.34,08/18/21
67.34,66.59,67.71,66.35,08/17/21
68.01,67.29,68.26,65.74,08/16/21
68.88,68.44,69.22,67.79,08/13/21
69.37,69.09,69.63,68.46,8/12/2021
68.5,69.25,69.44,66.68,8/11/2021
66.62,68.29,68.9,66.46,8/10/2021
67.82,66.48,67.98,65.15,8/9/2021
69.22,68.28,70.18,67.8,8/6/2021
68.14,69.09,69.35,67.6,8/5/2021
70.26,68.15,70.8,67.84,8/4/2021
71.42,70.56,71.94,69.2,8/3/2021
73.89,71.26,73.93,70.56,8/2/2021
73.39,73.95,74.23,72.94,07/30/21
72.41,73.62,73.68,72.26,07/29/21
71.98,72.39,72.6,71.71,07/28/21
72.22,71.65,72.31,71.09,07/27/21
7120,71.91,0,70.58,07/26/21
71.71,72.07,72.19,71.4,07/23/21
70.24,71.91,72.02,69.86,07/22/21
0,70.3,70.5,0,07/21/21
66.6,67.42,67.65,65.21,07/20/21
71.49,66.42,71.67,65.63,07/19/21
71.48,71.81,72.3,70.41,07/16/21
72.96,71.65,72.96,71.4,07/15/21
75.17,73.13,75.44,72.21,07/14/21
74.18,75.25,75.52,73.68,07/13/21
74.74,74.1,74.93,73.16,7/12/2021
73.26,74.56,74.76,72.72,7/9/2021
72.17,72.94,73.26,70.76,7/8/2021
73.85,72.2,74.86,71.07,7/7/2021
75.35,73.37,76.98,72.94,7/6/2021
75.02,75.16,75.62,74.41,7/2/2021
73.5,75.23,76.22,73.39,7/1/2021
73.47,73.47,74.14,72.82,06/30/21
72.78,72.98,73.81,71.97,06/29/21
73.99,72.91,74.45,72.62,06/28/21
73.32,74.05,74.18,72.85,06/25/21
73.28,73.3,73.61,72.32,06/24/21
0,73.08,74.25,0,06/23/21
73.41,73.06,73.95,72.94,06/22/21
71.52,73.66,73.96,71.15,06/21/21
71.1,71.64,72.17,70.16,06/18/21
71.65,71.04,72.3,69.77,06/17/21
72.45,72.15,72.99,71.61,06/16/21
71.16,72.12,72.49,70.81,06/15/21
70.65,70.88,71.78,70.65,06/14/21
70.1,70.91,71.24,69.68,6/11/2021
69.76,70.29,70.65,68.68,6/10/2021
70.01,69.96,70.62,69.46,6/9/2021
69.29,70.05,70.27,68.47,6/8/2021
69.52,69.23,70,68.93,6/7/2021
68.91,69.62,69.76,68.33,6/4/2021
68.76,68.81,69.4,68.19,6/3/2021
67.99,68.83,69,67.78,6/2/2021
66.68,67.72,68.87,66.41,6/1/2021
66.95,66.32,67.52,66.17,05/28/21
66.16,66.85,66.92,65.47,05/27/21
66.04,66.21,66.43,65.25,05/26/21
66.02,66.07,66.51,65.41,05/25/21
63.87,66.05,66.14,63.63,05/24/21
0,63.58,64.07,61.56,05/21/21
63.39,62.05,63.96,61.89,05/20/21
65.28,63.36,65.35,61.95,05/19/21
66.33,65.49,67.01,64.11,05/18/21
65.5,66.27,66.43,64.83,05/17/21
63.83,65.37,65.62,63.33,05/14/21
65.75,63.82,65.81,63.09,05/13/21
65.46,66.08,66.63,64.97,5/12/2021
64.9,65.28,65.5,63.68,5/11/2021
65.57,64.92,65.75,63.95,5/10/2021
64.9,64.9,65.24,63.9,5/7/2021
65.27,64.71,65.98,64.5,5/6/2021
66.45,65.63,66.76,64.92,5/5/2021
64.6,65.69,66.19,64.29,5/4/2021
63.64,64.49,64.68,62.91,5/3/2021
64.88,63.58,64.95,63.08,04/30/21
63.7,65.01,65.47,63.65,04/29/21
63.04,63.86,64.53,62.67,04/28/21
61.97,62.94,63.3,61.91,04/27/21
62.06,61.91,62.31,60.66,04/26/21
61.65,62.14,62.43,61.25,04/23/21
61.11,61.43,61.87,60.61,04/22/21
0,61.35,62.56,60.86,04/21/21
63.47,62.44,64.25,61.5,04/20/21
62.98,63.38,63.63,62.63,04/19/21
63.32,63.13,63.88,62.83,04/16/21
62.83,63.46,63.57,62.53,04/15/21
60.44,63.15,63.44,60.38,04/14/21
59.64,60.18,60.59,59.64,04/13/21
