Intensity,Name,Signal,Start Time,,End Time,,Duration
,,,hh mm,dd/mon/yyyy,hh mm,dd/mon/yyyy,hh mm
Tropical Depression,MUN,1,16:15,2-Jul-19,5:40,3-Jul-19,13 25
Tropical Storm,WIPHA,1,15:40,30-Jul-19,21:15,30-Jul-19,05 35
Tropical Storm,WIPHA,3,21:15,30-Jul-19,13:40,31-Jul-19,16 25
Tropical Storm,WIPHA,8 NE,13:40,31-Jul-19,23:40,31-Jul-19,10 00
Tropical Storm,WIPHA,3,23:40,31-Jul-19,19:20,1-Aug-19,19 40
Tropical Storm,WIPHA,1,19:20,1-Aug-19,8:40,2-Aug-19,13 20
Severe Tropical Storm,BAILU,1,14:40,24-Aug-19,19:20,25-Aug-19,28 40
Tropical Storm,PODUL,1,14:40,28-Aug-19,12:20,29-Aug-19,21 40
Tropical Depression,KAJIKI,1,8:40,1-Sep-19,16:20,1-Sep-19,07 40
Tropical Depression,KAJIKI,3,16:20,1-Sep-19,10:40,2-Sep-19,18 20
Tropical Depression,KAJIKI,1,10:40,2-Sep-19,9:20,3-Sep-19,22 40
Tropical Storm,NURI,1,20:20,12-Jun-20,15:40,13-Jun-20,19 20
Tropical Storm,NURI,3,15:40,13-Jun-20,10:40,14-Jun-20,19 00
Tropical Storm,NURI,1,10:40,14-Jun-20,13:20,14-Jun-20,02 40
Tropical Storm,SINLAKU,3,20:40,31-Jul-20,21:10,1-Aug-20,24 30
Tropical Storm,SINLAKU,1,21:10,1-Aug-20,23:15,1-Aug-20,02 05
Typhoon,HIGOS,1,3:40,18-Aug-20,14:20,18-Aug-20,10 40
Typhoon,HIGOS,3,14:20,18-Aug-20,22:40,18-Aug-20,08 20
Typhoon,HIGOS,8 NE,22:40,18-Aug-20,1:30,19-Aug-20,02 50
Typhoon,HIGOS,9,1:30,19-Aug-20,7:40,19-Aug-20,06 10
Typhoon,HIGOS,8 SE,7:40,19-Aug-20,11:10,19-Aug-20,03 30
Typhoon,HIGOS,3,11:10,19-Aug-20,13:20,19-Aug-20,02 10
Tropical Storm,NANGKA,1,20:40,11-Oct-20,17:10,12-Oct-20,20 30
Tropical Storm,NANGKA,3,17:10,12-Oct-20,5:40,13-Oct-20,12 30
Tropical Storm,NANGKA,8 NE,5:40,13-Oct-20,19:40,13-Oct-20,14 00
Tropical Storm,NANGKA,3,19:40,13-Oct-20,2:40,14-Oct-20,07 00
Typhoon,SAUDEL,1,17:40,22-Oct-20,0:20,23-Oct-20,06 40
Typhoon,SAUDEL,3,0:20,23-Oct-20,9:10,24-Oct-20,32 50
Tropical Storm,KOGUMA,1,16:15,11-Jun-21,14:10,12-Jun-21,21 55
Tropical Depression/Tropical Depression,no name(E)(5-6Jul2021)/ no name(W)(5-8Jul2021),1,4:15,6-Jul-21,14:10,7-Jul-21,33 55
Typhoon,CEMPAKA,1,21:40,18-Jul-21,16:10,19-Jul-21,18 30
Typhoon,CEMPAKA,3,16:10,19-Jul-21,13:20,20-Jul-21,21 10
Typhoon,CEMPAKA,1,13:20,20-Jul-21,19:40,20-Jul-21,06 20
Tropical Storm,LUPIT,1,21:40,2-Aug-21,16:25,3-Aug-21,18 45
Tropical Storm,LUPIT,3,16:25,3-Aug-21,4:20,4-Aug-21,11 55
Tropical Storm,LUPIT,1,4:20,4-Aug-21,18:20,4-Aug-21,14 00
Tropical Storm,LIONROCK,3,4:40,8-Oct-21,6:40,9-Oct-21,26 00
Tropical Storm,LIONROCK,8 SE,6:40,9-Oct-21,4:40,10-Oct-21,22 00
Tropical Storm,LIONROCK,3,4:40,10-Oct-21,12:40,10-Oct-21,08 00
Tropical Storm,LIONROCK,1,12:40,10-Oct-21,14:20,10-Oct-21,01 40
Typhoon,KOMPASU,3,0:40,12-Oct-21,17:20,12-Oct-21,16 40
Typhoon,KOMPASU,8 NE,17:20,12-Oct-21,16:40,13-Oct-21,23 20
Typhoon,KOMPASU,3,16:40,13-Oct-21,4:40,14-Oct-21,12 00
Typhoon,KOMPASU,1,4:40,14-Oct-21,6:20,14-Oct-21,01 40
Super Typhoon,RAI,1,11:20,20-Dec-21,12:20,21-Dec-21,25 00
Typhoon,CHABA,1,21:10,29-Jun-22,22:40,30-Jun-22,25 30
Typhoon,CHABA,3,22:40,30-Jun-22,19:10,1-Jul-22,20 30
Typhoon,CHABA,8 SE,19:10,1-Jul-22,16:20,2-Jul-22,21 10
Typhoon,CHABA,3,16:20,2-Jul-22,14:10,3-Jul-22,21 50
Typhoon,CHABA,1,14:10,3-Jul-22,19:40,3-Jul-22,05 30
Tropical Depression,no name,1,22:10,3-Aug-22,14:40,4-Aug-22,16 30
Tropical Storm,MULAN,1,3:40,9-Aug-22,11:25,9-Aug-22,07 45
Tropical Storm,MULAN,3,11:25,9-Aug-22,18:20,10-Aug-22,30 55
Typhoon,MA-ON,1,21:10,23-Aug-22,12:40,24-Aug-22,15 30
Typhoon,MA-ON,3,12:40,24-Aug-22,19:25,24-Aug-22,06 45
Typhoon,MA-ON,8 NE,19:25,24-Aug-22,1:40,25-Aug-22,06 15
Typhoon,MA-ON,8 SE,1:40,25-Aug-22,9:20,25-Aug-22,07 40
Typhoon,MA-ON,3,9:20,25-Aug-22,14:10,25-Aug-22,04 50
Typhoon,MA-ON,1,14:10,25-Aug-22,16:10,25-Aug-22,02 00
Typhoon,NESAT,1,21:20,16-Oct-22,11:30,17-Oct-22,14 10
Typhoon,NESAT,3,11:30,17-Oct-22,15:40,18-Oct-22,28 10
Severe Tropical Storm,NALGAE,1,22:10,30-Oct-22,16:20,31-Oct-22,18 10
Severe Tropical Storm,NALGAE,3,16:20,31-Oct-22,13:40,2-Nov-22,45 20
Severe Tropical Storm,NALGAE,8 NW,13:40,2-Nov-22,20:40,2-Nov-22,07 00
Severe Tropical Storm,NALGAE,8 NE,20:40,2-Nov-22,2:40,3-Nov-22,06 00
Severe Tropical Storm,NALGAE,8 SE,2:40,3-Nov-22,5:20,3-Nov-22,02 40
Severe Tropical Storm,NALGAE,3,5:20,3-Nov-22,6:20,3-Nov-22,01 00
Typhoon,TALIM,1,4:40,15-Jul-23,5:40,16-Jul-23,25 00
Typhoon,TALIM,3,5:40,16-Jul-23,0:40,17-Jul-23,19 00
Typhoon,TALIM,8 NE,0:40,17-Jul-23,6:40,17-Jul-23,06 00
Typhoon,TALIM,8 SE,6:40,17-Jul-23,16:20,17-Jul-23,09 40
Typhoon,TALIM,3,16:20,17-Jul-23,2:40,18-Jul-23,10 20
Typhoon,TALIM,1,2:40,18-Jul-23,8:40,18-Jul-23,06 00
Super Typhoon,DOKSURI,1,20:40,26-Jul-23,12:40,28-Jul-23,40 00
Super Typhoon,SAOLA,1,17:40,30-Aug-23,15:40,31-Aug-23,22 00
Super Typhoon,SAOLA,3,15:40,31-Aug-23,2:40,1-Sep-23,11 00
Super Typhoon,SAOLA,8 NW,2:40,1-Sep-23,18:20,1-Sep-23,15 40
Super Typhoon,SAOLA,9,18:20,1-Sep-23,20:15,1-Sep-23,01 55
Super Typhoon,SAOLA,10,20:15,1-Sep-23,3:40,2-Sep-23,07 25
Super Typhoon,SAOLA,8 SE,3:40,2-Sep-23,16:20,2-Sep-23,12 40
Super Typhoon,SAOLA,3,16:20,2-Sep-23,20:20,2-Sep-23,04 00
Super Typhoon,SAOLA,1,20:20,2-Sep-23,23:40,2-Sep-23,03 20
Severe Typhoon,HAIKUI,1,4:40,4-Sep-23,21:40,5-Sep-23,41 00
Severe Typhoon,KOINU,1,21:40,4-Oct-23,17:40,6-Oct-23,44 00
Severe Typhoon,KOINU,3,17:40,6-Oct-23,12:40,8-Oct-23,43 00
Severe Typhoon,KOINU,8 NE,12:40,8-Oct-23,19:00,8-Oct-23,06 20
Severe Typhoon,KOINU,9,19:00,8-Oct-23,23:50,8-Oct-23,04 50
Severe Typhoon,KOINU,8 NE,23:50,8-Oct-23,11:40,9-Oct-23,11 50
Severe Typhoon,KOINU,3,11:40,9-Oct-23,14:40,9-Oct-23,03 00
Severe Typhoon,KOINU,1,14:40,9-Oct-23,16:20,9-Oct-23,01 40
Tropical Storm,MALIKSI,1,17:40,30-May-24,16:40,31-May-24,23 00
Tropical Storm,MALIKSI,3,16:40,31-May-24,16:40,1-Jun-24,24 00
Tropical Storm,MALIKSI,1,16:40,1-Jun-24,17:40,1-Jun-24,01 00
Severe Tropical Storm,PRAPIROON,1,22:40,20-Jul-24,12:20,22-Jul-24,37 40
Super Typhoon,YAGI,1,17:40,3-Sep-24,18:40,4-Sep-24,25 00
Super Typhoon,YAGI,3,18:40,4-Sep-24,18:20,5-Sep-24,23 40
Super Typhoon,YAGI,8 NE,18:20,5-Sep-24,12:40,6-Sep-24,18 20
Super Typhoon,YAGI,3,12:40,6-Sep-24,4:20,7-Sep-24,15 40
Typhoon,TRAMI,1,1:40,25-Oct-24,10:40,26-Oct-24,33 00
Typhoon,TRAMI,3,10:40,26-Oct-24,22:20,26-Oct-24,11 40
Typhoon,TRAMI,1,22:20,26-Oct-24,0:20,27-Oct-24,02 00
Super Typhoon,YINXING,1,12:40,8-Nov-24,15:40,9-Nov-24,27 00
Super Typhoon,YINXING,3,15:40,9-Nov-24,10:20,10-Nov-24,18 40
Super Typhoon,YINXING,1,10:20,10-Nov-24,15:20,10-Nov-24,05 00
Typhoon,TORAJI,1,22:20,11-Nov-24,14:40,13-Nov-24,40 20
Typhoon,TORAJI,3,14:40,13-Nov-24,23:10,13-Nov-24,08 30
Typhoon,TORAJI,8 NE,23:10,13-Nov-24,10:20,14-Nov-24,11 10
Typhoon,TORAJI,3,10:20,14-Nov-24,22:20,14-Nov-24,12 00
Typhoon,TORAJI,1,22:20,14-Nov-24,1:20,15-Nov-24,03 00
Super Typhoon,MAN-YI,1,6:40,18-Nov-24,22:10,19-Nov-24,39 30
