Year,Month,Composite Consumer Price Index,Consumer Price Index (A),Consumer Price Index (B),Consumer Price Index (C)
2019,Jan,97.8,98.3,97.5,97.5
2019,Feb,98.7,99.4,98.3,98.4
2019,Mar,98.4,99.1,98.1,98
2019,Apr,99.1,99.5,98.8,99
2019,May,99,99.6,98.7,98.7
2019,Jun,99.7,100.7,99.3,99.1
2019,Jul,100.1,101,99.7,99.7
2019,Aug,100.3,101.2,99.9,99.8
2019,Sep,100.3,101.3,99.8,99.7
2019,Oct,100.6,101.8,100.1,99.9
2019,Nov,100.7,101.8,100.2,99.9
2019,Dec,100.7,101.9,100.2,100
2020,Jan,98.5,95.6,99.7,100.3
2020,Feb,101,101.9,100.6,100.3
2020,Mar,100.9,101.8,100.6,100.3
2020,Apr,101,101.8,100.6,100.4
2020,May,100.7,101.5,100.3,100.2
2020,Jun,100.6,101.4,100.3,100
2020,Jul,97.7,94.8,98.9,99.5
2020,Aug,99.9,100.7,99.5,99.4
2020,Sep,97.8,94.9,99,99.7
2020,Oct,100.2,101.3,99.7,99.7
2020,Nov,100.3,101.4,99.7,99.8
2020,Dec,99.8,100.6,99.2,99.5
2021,Jan,101.1,102.8,100.3,100.2
2021,Feb,101.4,103.3,100.7,100.3
2021,Mar,101.5,103.2,100.7,100.5
2021,Apr,101.8,103.5,101,100.8
2021,May,101.6,103.4,100.8,100.6
2021,Jun,101.3,102.8,100.6,100.5
2021,Jul,101.4,102.8,100.6,100.7
2021,Aug,101.5,102.9,100.7,100.8
2021,Sep,99.2,96.4,100.2,101
2021,Oct,102,103.4,101.3,101.3
2021,Nov,102.2,103.7,101.4,101.3
2021,Dec,102.2,103.7,101.4,101.4
2022,Jan,102.3,103.9,101.6,101.6
2022,Feb,103.1,104.9,102.3,102
2022,Mar,103.3,105.1,102.4,102.3
2022,Apr,103.1,104.6,102.3,102.4
2022,May,102.9,104.3,102.1,102.3
2022,Jun,103.2,104.6,102.3,102.5
2022,Jul,103.3,104.8,102.5,102.7
2022,Aug,103.4,104.8,102.5,102.7
2022,Sep,103.5,105,102.7,102.9
2022,Oct,103.8,105.4,103,103.1
2022,Nov,104,105.5,103.1,103.2
2022,Dec,104.2,105.8,103.3,103.5
2023,Jan,104.8,106.6,103.9,104
2023,Feb,104.9,106.7,103.9,103.9
2023,Mar,105,106.8,104.1,104.2
2023,Apr,105.2,107,104.3,104.5
2023,May,105,106.6,104.1,104.3
2023,Jun,105.2,106.8,104.2,104.4
2023,Jul,105.2,106.8,104.3,104.5
2023,Aug,105.2,106.7,104.3,104.6
2023,Sep,105.6,107.2,104.7,105
2023,Oct,106.7,108.8,105.6,105.6
2023,Nov,106.6,108.7,105.6,105.6
2023,Dec,106.7,108.7,105.6,105.8
2024,Jan,106.6,108.8,105.6,105.6
2024,Feb,107.1,109.2,106,106
2024,Mar,107.1,109.3,106,106
2024,Apr,106.4,108.2,105.4,105.6
2024,May,106.2,107.9,105.2,105.5
2024,Jun,106.7,108.7,105.6,105.8
2024,Jul,107.8,110.1,106.6,106.7
2024,Aug,107.8,110.2,106.6,106.6
2024,Sep,107.9,110.3,106.8,106.7
2024,Oct,108.1,110.5,107,106.9
2024,Nov,108.1,110.5,106.9,106.8
2024,Dec,108.2,110.6,107.1,107.1
2025,Jan,108.7,111.4,107.4,107.3
2025,Feb,108.6,111.5,107.3,107.1
2025,Mar,108.6,111.5,107.3,107
 ,,,,,