Date,Hong Kong Marathon,Days_to_Marathon,Creamfields Hong Kong,Days_to_Creamfields,ComplexCon Hong Kong,Days_to_ComplexCon,Hong Kong Sevens,Days_to_HKSevens,Clockenflap,Days_to_Clockenflap
5/4/2019,0,0,0,0,0,0,1,0,0,0
6/4/2019,0,0,0,0,0,0,1,0,0,0
7/4/2019,0,0,0,0,0,0,1,0,0,0
25/12/2019,0,0,0,3,0,0,0,0,0,0
26/12/2019,0,0,0,2,0,0,0,0,0,0
27/12/2019,0,0,0,1,0,0,0,0,0,0
28/12/2019,0,0,1,0,0,0,0,0,0,0
29/12/2019,0,0,1,0,0,0,0,0,0,0
21/10/2021,0,3,0,0,0,0,0,0,0,0
22/10/2021,0,2,0,0,0,0,0,0,0,0
23/10/2021,0,1,0,0,0,0,0,0,0,0
24/10/2021,1,0,0,0,0,0,0,0,0,0
28/2/2022,0,0,0,0,0,0,0,0,0,3
1/3/2022,0,0,0,0,0,0,0,0,0,2
2/3/2022,0,0,0,0,0,0,0,0,0,1
3/3/2022,0,0,0,0,0,0,0,0,1,0
4/3/2022,0,0,0,0,0,0,0,0,1,0
5/3/2022,0,0,0,0,0,0,0,0,1,0
1/11/2022,0,0,0,0,0,0,0,3,0,0
2/11/2022,0,0,0,0,0,0,0,2,0,0
3/11/2022,0,0,0,0,0,0,0,1,0,0
4/11/2022,0,0,0,0,0,0,1,0,0,0
5/11/2022,0,0,0,0,0,0,1,0,0,0
6/11/2022,0,0,0,0,0,0,1,0,0,0
9/2/2023,0,3,0,0,0,0,0,0,0,0
10/2/2023,0,2,0,0,0,0,0,0,0,0
11/2/2023,0,1,0,0,0,0,0,0,0,0
12/2/2023,1,0,0,0,0,0,0,0,0,0
28/3/2023,0,0,0,0,0,0,0,3,0,0
29/3/2023,0,0,0,3,0,0,0,2,0,0
30/3/2023,0,0,0,2,0,0,0,1,0,0
31/3/2023,0,0,0,1,0,0,1,0,0,0
1/4/2023,0,0,1,0,0,0,1,0,0,0
2/4/2023,0,0,1,0,0,0,1,0,0,0
28/11/2023,0,0,0,0,0,0,0,0,0,3
29/11/2023,0,0,0,0,0,0,0,0,0,2
30/11/2023,0,0,0,0,0,0,0,0,0,1
1/12/2023,0,0,0,0,0,0,0,0,1,0
2/12/2023,0,0,0,0,0,0,0,0,1,0
3/12/2023,0,0,0,0,0,0,0,0,1,0
18/1/2024,0,3,0,0,0,0,0,0,0,0
19/1/2024,0,2,0,0,0,0,0,0,0,0
20/1/2024,0,1,0,0,0,0,0,0,0,0
21/1/2024,1,0,0,0,0,0,0,0,0,0
19/3/2024,0,0,0,0,0,3,0,0,0,0
20/3/2024,0,0,0,0,0,2,0,0,0,0
21/3/2024,0,0,0,0,0,1,0,0,0,0
22/3/2024,0,0,0,0,1,0,0,0,0,0
23/3/2024,0,0,0,0,1,0,0,0,0,0
24/3/2024,0,0,0,0,1,0,0,0,0,0
2/4/2024,0,0,0,0,0,0,0,3,0,0
3/4/2024,0,0,0,0,0,0,0,2,0,0
4/4/2024,0,0,0,0,0,0,0,1,0,0
5/4/2024,0,0,0,0,0,0,1,0,0,0
6/4/2024,0,0,0,0,0,0,1,0,0,0
7/4/2024,0,0,0,0,0,0,1,0,0,0
10/4/2024,0,0,0,3,0,0,0,0,0,0
11/4/2024,0,0,0,2,0,0,0,0,0,0
12/4/2024,0,0,0,1,0,0,0,0,0,0
13/4/2024,0,0,1,0,0,0,0,0,0,0
14/4/2024,0,0,1,0,0,0,0,0,0,0
26/11/2024,0,0,0,0,0,0,0,0,0,3
27/11/2024,0,0,0,0,0,0,0,0,0,2
28/11/2024,0,0,0,0,0,0,0,0,0,1
29/11/2024,0,0,0,0,0,0,0,0,1,0
30/11/2024,0,0,0,0,0,0,0,0,1,0
1/12/2024,0,0,0,0,0,0,0,0,1,0
6/2/2025,0,3,0,0,0,0,0,0,0,0
7/2/2025,0,2,0,0,0,0,0,0,0,0
8/2/2025,0,1,0,0,0,0,0,0,0,0
9/2/2025,1,0,0,0,0,0,0,0,0,0
18/3/2025,0,0,0,0,0,3,0,0,0,0
19/3/2025,0,0,0,0,0,2,0,0,0,0
20/3/2025,0,0,0,0,0,1,0,0,0,0
21/3/2025,0,0,0,0,1,0,0,0,0,0
22/3/2025,0,0,0,0,1,0,0,0,0,0
23/3/2025,0,0,0,0,1,0,0,0,0,0
25/3/2025,0,0,0,0,0,0,0,3,0,0
26/3/2025,0,0,0,0,0,0,0,2,0,0
27/3/2025,0,0,0,0,0,0,0,1,0,0
28/3/2025,0,0,0,0,0,0,1,0,0,0
29/3/2025,0,0,0,0,0,0,1,0,0,0
30/3/2025,0,0,0,0,0,0,1,0,0,0